,Date,Peak Generation (MW),Lowest Generation (MW),Energy Recorded(Mwh),Generation at 6:00hrs (MW),Highest System Frequency (Hz),Lowest System Frequency (Hz),Highest Voltage Recorded (kV),Lowest Voltage Recorded (kV)
226,2020-08-30,4611.5,3000.9,90435.12,3358.3,50.55,49.66,355.0,300.0
227,2020-08-31,4609.6,3027.5,92824.67,3353.7,50.8,49.63,354.0,300.0
228,2020-09-01,4768.1,3031.1,90829.36,3253.8,50.57,49.92,354.0,300.0
229,2020-09-02,4707.6,3048.0,91778.39,3377.3,50.88,49.02,356.0,300.0
230,2020-09-03,4771.2,3305.6,99055.73,3600.1,50.66,49.76,350.0,302.0
231,2020-09-04,4827.6,3267.8,98043.31,3549.6,50.72,49.9,354.0,300.0
232,2020-09-05,4512.4,3099.1,88646.52,3296.5,50.73,50.02,354.0,302.0
233,2020-09-06,4805.4,2907.5,86786.77,3242.4,51.0,50.02,355.0,300.0
234,2020-09-07,4901.7,3133.1,97662.93,3636.7,50.82,49.78,353.0,305.0
235,2020-09-08,4339.8,3161.8,92508.04,3545.3,50.84,48.79,357.0,302.0
236,2020-09-09,4447.7,2524.7,80757.17,2812.4,50.98,49.33,356.0,300.0
237,2020-09-10,4600.6,2682.4,85932.66,3127.6,50.82,49.96,355.0,300.0
238,2020-09-11,4386.8,2910.8,87993.0,3404.2,50.72,48.71,356.0,300.0
239,2020-09-12,3973.8,2654.6,86218.8,3765.3,51.02,49.71,359.0,300.0
240,2020-09-13,4542.4,2016.3,73677.2,2419.7,51.15,49.73,362.0,280.0
241,2020-09-14,4653.8,2808.0,89426.66,3155.2,50.73,49.58,358.0,300.0
242,2020-09-15,4629.1,2790.3,85265.5,3105.7,50.99,49.71,356.0,300.0
243,2020-09-16,4768.7,2942.7,91067.56,3445.9,50.69,49.66,355.0,285.0
244,2020-09-17,5105.6,3070.8,98042.74,3495.4,50.63,49.64,355.0,300.0
245,2020-09-18,4987.6,3016.5,97854.6,3886.0,51.0,49.92,368.0,300.0
246,2020-09-19,4757.6,2715.0,85145.9,3010.6,51.01,50.07,358.0,300.0
247,2020-09-20,4903.0,2951.4,89482.65,3381.0,51.0,50.07,356.0,300.0
248,2020-09-21,5194.0,3032.7,95913.51,3371.1,50.96,50.08,354.0,300.0
249,2020-09-22,4769.4,3187.5,95385.55,3798.1,50.67,49.2,353.0,300.0
250,2020-09-23,4639.2,3337.0,94624.1,3964.9,50.56,49.72,353.0,280.0
251,2020-09-24,4883.6,2410.3,91822.32,2410.3,51.47,49.58,369.0,280.0
252,2020-09-25,4968.8,3401.4,102457.5,3706.4,50.91,49.72,351.0,303.0
253,2020-09-26,5151.4,3034.7,93977.6,3384.5,50.95,50.15,357.0,300.0
254,2020-09-27,5195.4,3237.8,96487.57,4312.1,50.91,49.33,354.0,300.0
255,2020-09-28,5160.2,3375.0,101585.07,3995.8,50.81,50.05,355.0,300.0
256,2020-09-29,5103.5,3406.3,100527.58,3749.7,50.76,50.11,351.0,300.0
257,2020-09-30,5158.0,3321.6,100563.1,3733.2,50.58,50.12,351.0,300.0
258,2020-10-03,5312.0,2971.1,92748.6,3328.7,50.98,49.78,353.0,300.0
259,2020-10-04,4869.2,3269.6,96201.91,3819.1,50.96,50.1,351.0,300.0
260,2020-10-05,5324.3,3220.6,99991.8,3860.8,50.88,49.95,355.0,280.0
261,2020-10-06,4384.0,2981.7,91256.1,4155.8,51.14,49.49,356.0,300.0
262,2020-10-07,5161.3,2322.0,86845.8,2958.7,51.48,49.33,361.0,300.0
263,2020-10-08,5055.7,3520.4,97951.88,3958.7,50.76,49.26,352.0,300.0
264,2020-10-09,5256.7,3414.4,100709.21,3881.2,50.73,49.78,356.0,300.0
265,2020-10-10,5134.8,3283.1,96607.89,3545.3,50.92,49.96,358.0,300.0
266,2020-10-11,5005.1,3314.3,98417.81,3886.4,50.86,49.73,355.0,300.0
267,2020-10-12,4791.5,3437.9,99462.65,4062.4,51.15,49.79,355.0,300.0
268,2020-10-13,4697.2,2858.2,92803.64,3552.6,51.13,49.72,354.0,300.0
269,2020-10-14,5285.1,2974.2,97141.9,3501.3,50.96,49.68,355.0,290.0
270,2020-10-15,5114.5,3613.44,104825.94,4603.31,50.73,49.72,350.0,300.0
271,2020-10-16,5001.7,3361.7,99361.9,3821.99,51.0,49.77,352.0,281.0
272,2020-10-17,5218.8,3108.9,96062.0,3367.5,51.04,49.16,354.0,300.0
273,2020-10-18,5120.9,3382.0,98012.9,3850.3,50.72,49.77,353.0,300.0
274,2020-10-19,4893.0,3483.0,100579.3,3944.5,50.68,49.68,352.0,300.0
275,2020-10-20,5055.3,3397.1,100830.35,3881.7,50.67,49.69,355.0,300.0
276,2020-10-21,5071.4,3516.9,100494.19,3758.4,50.78,49.68,356.0,280.0
277,2020-10-22,5367.0,3623.7,103427.04,3835.4,50.63,49.57,352.0,300.0
278,2020-10-23,5263.4,3699.7,104097.93,4035.1,50.59,49.69,351.0,300.0
279,2020-10-24,5090.1,3540.0,103637.28,3776.5,50.83,49.88,355.0,300.0
280,2020-10-25,4969.0,2848.8,96122.6,3474.5,51.23,49.81,357.0,300.0
281,2020-10-26,4917.1,3307.0,99486.51,3870.8,50.92,49.479,355.0,300.0
282,2020-10-27,5403.0,3394.2,105016.65,3963.7,50.815,49.65,352.0,300.0
283,2020-10-28,5459.5,3444.5,106803.18,3841.7,50.71,49.64,353.0,280.0
284,2020-10-29,5351.1,3812.4,108776.44,4132.2,50.61,49.76,352.0,300.0
285,2020-10-30,5520.4,3660.9,107931.4,4140.2,50.85,50.01,350.0,280.0
286,2020-10-31,4993.1,3957.2,104911.04,4160.2,50.73,49.38,351.0,300.0
287,2020-11-01,4842.9,3611.2,102813.65,4365.5,50.684,49.01,356.0,300.0
288,2020-11-02,4909.5,3803.2,105967.47,4572.4,50.613,49.509,353.0,280.0
289,2020-11-03,4846.1,3864.9,106268.57,4653.2,50.703,49.617,352.0,300.0
290,2020-11-04,5126.0,3892.6,108285.75,4719.8,50.533,49.614,352.0,280.0
291,2020-11-05,5014.6,3813.5,107281.53,4640.1,50.66,49.18,353.0,283.0
292,2020-11-06,4786.5,3979.0,104725.02,4657.1,50.51,49.16,351.0,304.0
293,2020-11-07,4684.3,3732.0,101386.87,4297.6,50.49,49.457,348.0,300.0
294,2020-11-08,4892.1,3702.5,102500.32,4367.7,51.008,49.06,352.0,300.0
295,2020-11-09,5298.9,3596.3,105742.85,4421.4,50.57,49.49,353.0,300.0
